
"TS007B - Age by broad age bands"
"ONS Crown Copyright Reserved [from Nomis on 6 January 2026]"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Aged 16 to 19 years","Aged 20 to 24 years"
"Ealing 021A","E01001195",3.2,5.9
"Ealing 021B","E01001197",2.9,5.4
"Ealing 021C","E01001198",3.9,9.0
"Ealing 021D","E01001199",3.8,7.3
"Ealing 022A","E01001284",5.1,4.5
"Ealing 022B","E01001288",4.2,4.5
"Ealing 022C","E01001289",5.3,4.7
"Ealing 022D","E01001290",4.2,4.2
"Ealing 023A","E01001213",5.2,6.5
"Ealing 023B","E01001214",5.0,7.2
"Ealing 023C","E01001215",5.5,5.8
"Ealing 023D","E01001216",4.3,5.3
"Ealing 023E","E01001361",5.6,6.6
"Ealing 024A","E01001240",4.5,10.4
"Ealing 024B","E01001241",3.8,9.5
"Ealing 024C","E01001242",5.1,6.5
"Ealing 024D","E01001243",4.0,7.5
"Ealing 024E","E01001244",4.6,7.4
"Ealing 024F","E01001245",2.2,4.6
"Ealing 025A","E01001200",3.8,8.5
"Ealing 025B","E01001201",4.1,8.0
"Ealing 025C","E01001202",4.1,7.4
"Ealing 025D","E01001203",3.1,5.9
"Ealing 025E","E01001351",3.3,5.8
"Ealing 026A","E01001359",6.3,6.8
"Ealing 026B","E01001360",6.1,7.1
"Ealing 026C","E01001362",6.1,5.9
"Ealing 026D","E01001363",5.8,6.1
"Ealing 026E","E01001364",6.3,8.5
"Ealing 026F","E01001365",4.9,7.2
"Ealing 027A","E01001231",3.3,12.9
"Ealing 027B","E01001234",3.4,6.0
"Ealing 027C","E01001350",3.3,5.8
"Ealing 027D","E01001352",3.5,7.1
"Ealing 027E","E01001354",2.8,5.0
"Ealing 028A","E01001249",4.8,6.9
"Ealing 028B","E01001250",3.3,6.3
"Ealing 028C","E01001255",4.5,3.3
"Ealing 028D","E01001383",3.8,5.1
"Ealing 028E","E01001388",3.2,5.1
"Ealing 028F","E01001389",3.0,7.1
"Ealing 029A","E01001219",6.6,6.9
"Ealing 029B","E01001220",7.7,8.0
"Ealing 029C","E01001334",6.1,6.7
"Ealing 029D","E01001337",3.6,6.1
"Ealing 029E","E01001338",5.0,5.1
"Ealing 029F","E01001339",5.1,7.5
"Ealing 029G","E01001340",4.7,5.4
"Ealing 030A","E01001251",4.1,3.3
"Ealing 030B","E01001252",3.8,5.2
"Ealing 030C","E01001253",4.3,5.3
"Ealing 030D","E01001254",4.0,3.4
"Ealing 031A","E01001229",4.2,7.1
"Ealing 031B","E01001230",2.6,8.1
"Ealing 031C","E01001232",4.0,6.1
"Ealing 031D","E01001233",2.8,6.2
"Ealing 031E","E01001237",3.3,6.9
"Ealing 031F","E01001386",3.9,5.7
"Ealing 032A","E01001303",3.4,4.6
"Ealing 032B","E01001382",4.7,3.2
"Ealing 032C","E01001384",2.7,4.6
"Ealing 032D","E01001385",2.6,3.5
"Ealing 032E","E01001387",2.5,4.4
"Ealing 033A","E01001353",3.8,5.8
"Ealing 033B","E01001355",3.2,6.0
"Ealing 033C","E01001356",5.1,5.6
"Ealing 033D","E01001357",4.3,5.7
"Ealing 033E","E01001358",4.2,5.4
"Ealing 034A","E01001375",2.2,2.9
"Ealing 034B","E01001377",4.3,4.9
"Ealing 034C","E01001379",4.0,4.0
"Ealing 034D","E01001381",1.7,6.3
"Ealing 035A","E01001248",4.5,6.2
"Ealing 035B","E01001299",4.0,5.4
"Ealing 035C","E01001305",4.2,3.4
"Ealing 035D","E01001306",3.4,2.9
"Ealing 038A","E01001333",5.6,5.9
"Ealing 038B","E01001335",5.7,5.6
"Ealing 038C","E01001336",3.4,7.7
"Ealing 038D","E01001369",5.8,5.5
"Ealing 039A","E01001300",3.5,3.4
"Ealing 039B","E01001301",3.8,9.7
"Ealing 039C","E01001302",3.8,4.2
"Ealing 039D","E01001304",3.3,5.1
"Ealing 040A","E01001374",2.9,4.6
"Ealing 040B","E01001376",3.0,5.7
"Ealing 040C","E01001380",3.0,5.8
"Ealing 040D","E01032572",2.8,5.7
"Ealing 041B","E01001223",3.0,4.5
"Ealing 041A","E01001225",1.9,5.1
"Ealing 041C","E01001273",4.4,7.2
"Ealing 041E","E01001274",4.0,4.7
"Ealing 041D","E01001275",2.1,4.6
"Ealing 042D","E01001235",2.8,6.3
"Ealing 042C","E01001236",2.6,5.1
"Ealing 042A","E01034030",2.1,8.1
"Ealing 042B","E01034031",1.4,2.9
"Ealing 043B","E01001367",5.5,7.1
"Ealing 043C","E01001372",5.6,6.5
"Ealing 043A","E01001373",6.8,6.8
"Ealing 044C","E01001366",5.9,7.0
"Ealing 044D","E01001368",5.9,6.7
"Ealing 044A","E01001370",5.2,6.9
"Ealing 044B","E01001371",5.9,6.8
"Enfield 001A","E01001444",6.0,5.6
"Enfield 001B","E01001446",5.2,6.7
"Enfield 001C","E01001546",5.8,6.8
"Enfield 001D","E01001552",5.7,6.6
"Enfield 002A","E01001442",5.9,7.1
"Enfield 002B","E01001545",6.7,8.0
"Enfield 002C","E01001547",5.7,6.7
"Enfield 002D","E01001548",6.8,5.6
"Enfield 002E","E01001551",5.6,6.4
"Enfield 003B","E01001445",4.7,4.6
"Enfield 003C","E01001447",5.8,6.2
"Enfield 003D","E01001448",6.3,6.2
"Enfield 003E","E01001449",7.7,6.6
"Enfield 003F","E01033148",7.0,8.1
"Enfield 003G","E01033150",3.7,6.0
"Enfield 004A","E01001408",3.0,3.5
"Enfield 004B","E01001411",4.4,3.6
"Enfield 004C","E01001412",4.1,6.1
"Enfield 004D","E01001413",4.0,4.2
"Enfield 004E","E01001414",6.0,5.3
"Enfield 005A","E01001407",4.8,5.6
"Enfield 005B","E01001409",4.7,5.9
"Enfield 005C","E01001410",6.7,6.1
"Enfield 005D","E01001516",7.1,6.2
"Enfield 005E","E01001537",4.4,4.8
"Enfield 006A","E01001439",6.3,6.4
"Enfield 006B","E01001441",6.1,5.5
"Enfield 006C","E01001517",6.7,8.1
"Enfield 006D","E01001549",6.4,5.7
"Enfield 006E","E01001550",6.2,7.1
"Enfield 007A","E01001433",7.6,6.6
"Enfield 007B","E01001434",5.5,6.5
"Enfield 007C","E01001435",6.3,7.8
"Enfield 007D","E01001436",5.8,6.9
"Enfield 007E","E01001438",5.4,6.5
"Enfield 008A","E01001469",4.5,5.2
"Enfield 008B","E01001536",4.7,4.6
"Enfield 008C","E01001540",3.0,3.2
"Enfield 008D","E01001541",2.9,2.9
"Enfield 008E","E01001542",3.6,4.5
"Enfield 009A","E01001538",4.7,5.3
"Enfield 009B","E01001539",3.9,5.6
"Enfield 009C","E01001543",4.6,5.6
"Enfield 009D","E01001544",3.1,5.2
"Enfield 010A","E01001457",2.0,2.9
"Enfield 010B","E01001468",4.0,3.9
"Enfield 010C","E01001471",3.3,3.1
"Enfield 010D","E01001472",3.3,4.2
"Enfield 010E","E01001474",3.2,3.3
"Enfield 011A","E01001415",3.1,3.7
"Enfield 011B","E01001417",3.8,4.9
"Enfield 011C","E01001418",3.9,4.0
"Enfield 011D","E01001422",4.2,5.7
"Enfield 012A","E01001440",6.1,5.9
"Enfield 012B","E01001504",7.5,7.7
"Enfield 012C","E01001505",7.4,8.7
"Enfield 012D","E01001507",8.0,12.5
"Enfield 012E","E01001508",6.9,5.5
"Enfield 012F","E01001513",6.2,6.6
"Enfield 013A","E01001416",3.2,4.3
"Enfield 013B","E01001470",3.9,5.5
"Enfield 013C","E01001473",5.0,5.3
"Enfield 013D","E01001475",4.4,6.0
"Enfield 014A","E01001437",5.8,6.4
"Enfield 014C","E01001509",5.1,4.8
"Enfield 014E","E01033926",6.1,5.6
"Enfield 015A","E01001405",2.4,3.4
"Enfield 015B","E01001406",4.4,5.4
"Enfield 015C","E01001450",3.4,4.9
"Enfield 015D","E01001512",3.0,4.3
"Enfield 015E","E01001515",5.8,7.1
"Enfield 016A","E01001401",5.8,5.3
"Enfield 016B","E01001478",5.4,8.0
"Enfield 016C","E01001484",5.4,5.7
"Enfield 016D","E01001511",5.0,4.9
"Enfield 016E","E01001514",5.7,4.4
"Enfield 016F","E01001518",5.0,6.2
"Enfield 017A","E01001451",3.5,5.0
"Enfield 017B","E01001452",4.7,5.8
"Enfield 017C","E01001453",3.4,3.1
"Enfield 017D","E01001454",4.3,4.3
"Enfield 018A","E01001476",5.8,6.6
"Enfield 018B","E01001477",6.4,6.3
"Enfield 018C","E01001481",6.3,6.5
"Enfield 018D","E01001502",5.9,8.5
"Enfield 018E","E01001503",6.0,6.4
"Enfield 019A","E01001520",3.6,3.9
"Enfield 019B","E01001522",4.1,3.5
"Enfield 019C","E01001523",4.5,4.1
"Enfield 019D","E01001524",5.0,5.5
"Enfield 019E","E01001526",4.0,4.5
"Enfield 020A","E01001419",4.1,4.9
"Enfield 020B","E01001420",6.0,7.1
"Enfield 020C","E01001421",3.4,3.5
"Enfield 020E","E01001525",4.2,3.7
"Enfield 020F","E01033927",4.1,4.7
"Enfield 020G","E01033928",4.2,5.2
"Enfield 021A","E01001398",4.0,4.0
"Enfield 021B","E01001399",3.8,5.8
"Enfield 021C","E01001400",3.1,5.5
"Enfield 021D","E01001402",3.5,5.1
"Enfield 021E","E01001403",3.9,6.2
"Enfield 021F","E01001455",4.1,4.4
"Enfield 022A","E01001456",3.9,4.8
"Enfield 022B","E01001564",3.6,3.2
"Enfield 022C","E01001567",3.7,2.8
"Enfield 022D","E01001568",3.5,4.3
"Enfield 022E","E01001569",3.2,5.3
"Enfield 023A","E01001479",5.0,5.4
"Enfield 023B","E01001482",6.5,6.2
"Enfield 023C","E01001487",6.4,6.2
"Enfield 023D","E01001489",6.1,7.7
"Enfield 023E","E01001491",5.5,6.8
"Enfield 024A","E01001459",6.2,7.2
"Enfield 024B","E01001460",5.0,6.1
"Enfield 024C","E01001462",4.8,6.9
"Enfield 024D","E01001480",4.9,5.5
"Enfield 024E","E01001488",6.3,6.9
"Enfield 025A","E01001483",5.4,5.6
"Enfield 025B","E01001485",6.4,6.2
"Enfield 025C","E01001486",5.4,6.8
"Enfield 025E","E01001492",6.3,7.4
"Enfield 025F","E01033146",5.6,8.5
"Enfield 025G","E01033151",7.7,7.3
"Enfield 026A","E01001404",4.1,5.5
"Enfield 026B","E01001493",4.7,6.6
"Enfield 026C","E01001494",4.7,5.0
"Enfield 026D","E01001496",4.1,4.7
"Enfield 026E","E01001570",4.4,5.0
"Enfield 027A","E01001423",6.2,8.2
"Enfield 027B","E01001425",5.9,7.8
"Enfield 027C","E01001428",7.3,7.4
"Enfield 027D","E01001461",6.4,7.9
"Enfield 027E","E01001464",6.7,9.5
"Enfield 028A","E01001521",4.7,4.3
"Enfield 028B","E01001531",3.8,3.8
"Enfield 028C","E01001532",4.7,4.1
"Enfield 028D","E01001533",3.5,4.3
"Enfield 028E","E01001535",3.1,4.8
"Enfield 029A","E01001495",3.5,4.1
"Enfield 029B","E01001498",3.9,4.7
"Enfield 029C","E01001563",3.2,4.2
"Enfield 029D","E01001565",3.9,4.9
"Enfield 029E","E01001566",3.2,4.7
"Enfield 030A","E01001424",4.5,8.3
"Enfield 030B","E01001426",6.9,6.4
"Enfield 030C","E01001427",5.7,6.7
"Enfield 030D","E01001429",5.5,5.1
"Enfield 030E","E01001430",6.6,6.4
"Enfield 031A","E01001463",6.0,6.0
"Enfield 031B","E01001465",5.4,6.8
"Enfield 031C","E01001466",4.6,6.5
"Enfield 031D","E01001467",7.6,6.2
"Enfield 031E","E01001497",5.1,5.8
"Enfield 031F","E01001499",4.7,6.0
"Enfield 032A","E01001392",3.6,4.9
"Enfield 032B","E01001528",4.8,6.4
"Enfield 032C","E01001529",5.1,9.3
"Enfield 032D","E01001530",5.6,6.1
"Enfield 032E","E01001534",3.4,4.7
"Enfield 033A","E01001431",7.0,6.2
"Enfield 033B","E01001432",5.1,6.4
"Enfield 033C","E01001555",5.5,5.5
"Enfield 033D","E01001557",5.3,7.1
"Enfield 033E","E01001558",7.7,7.0
"Enfield 033F","E01001559",6.2,6.5
"Enfield 035A","E01001394",3.3,8.5
"Enfield 035B","E01001395",4.8,6.5
"Enfield 035C","E01001397",3.8,6.9
"Enfield 035D","E01001500",3.2,5.8
"Enfield 035E","E01001556",4.1,6.2
"Enfield 035F","E01001560",5.6,7.7
"Enfield 036A","E01001390",2.9,4.2
"Enfield 036B","E01001391",4.9,5.3
"Enfield 036C","E01001393",3.1,4.7
"Enfield 036D","E01001396",4.2,6.4
"Enfield 036E","E01001501",4.0,5.8
"Enfield 036F","E01001527",3.8,4.0
"Enfield 037A","E01001458",6.3,6.5
"Enfield 037B","E01001553",8.4,8.5
"Enfield 037C","E01001554",4.8,6.6
"Enfield 037D","E01001562",5.9,5.9
"Enfield 037E","E01032574",6.8,5.7
"Greenwich 001A","E01001690",4.4,5.5
"Greenwich 001B","E01001692",6.2,7.3
"Greenwich 001C","E01001693",4.4,5.2
"Greenwich 001D","E01001694",4.5,5.7
"Greenwich 002A","E01001687",3.4,8.0
"Greenwich 002B","E01001688",5.8,4.8
"Greenwich 002E","E01033739",3.6,6.5
"Greenwich 002F","E01033740",5.0,6.5
"Greenwich 002G","E01033741",6.6,18.9
"Greenwich 002H","E01033743",6.4,6.4
"Greenwich 002I","E01033745",5.4,5.3
"Greenwich 003A","E01001575",7.5,5.9
"Greenwich 003B","E01001576",4.7,5.5
"Greenwich 003C","E01001577",4.7,6.3
"Greenwich 003D","E01001578",4.7,5.8
"Greenwich 003E","E01001579",6.2,6.0
"Greenwich 005A","E01001705",5.8,7.9
"Greenwich 005C","E01001708",4.2,5.1
"Greenwich 005D","E01001710",4.5,6.5
"Greenwich 005F","E01034173",5.4,6.7
"Greenwich 006A","E01001672",4.8,5.7
"Greenwich 006B","E01001673",3.0,6.5
"Greenwich 006C","E01001674",5.1,5.2
"Greenwich 006D","E01001675",4.3,6.4
"Greenwich 006E","E01001677",6.4,8.2
"Greenwich 007B","E01001631",4.6,7.3
"Greenwich 007C","E01001632",4.0,5.7
"Greenwich 007D","E01001635",4.8,6.0
"Greenwich 007E","E01001636",4.4,6.2
"Greenwich 007F","E01033742",2.5,4.2
"Greenwich 007G","E01033744",3.4,6.0
"Greenwich 008A","E01001571",4.0,7.2
"Greenwich 008B","E01001572",3.8,4.9
"Greenwich 008C","E01001573",5.8,7.1
"Greenwich 008D","E01001574",4.3,4.6
"Greenwich 009A","E01001629",4.9,6.6
"Greenwich 009B","E01001633",3.5,7.0
"Greenwich 009C","E01001634",5.0,5.0
"Greenwich 009D","E01001637",4.1,6.2
"Greenwich 011A","E01001695",3.9,6.9
"Greenwich 011B","E01001696",3.8,6.7
"Greenwich 011C","E01001697",7.6,6.3
"Greenwich 011D","E01001700",6.0,8.2
"Greenwich 011E","E01001703",5.6,6.4
"Greenwich 011F","E01001704",3.8,5.6
"Greenwich 012A","E01001588",5.3,5.8
"Greenwich 012B","E01001589",4.3,6.5
"Greenwich 012C","E01001591",6.6,7.1
"Greenwich 012D","E01001595",4.9,5.3
"Greenwich 014A","E01001590",2.3,5.9
"Greenwich 014B","E01001592",2.6,3.5
"Greenwich 014C","E01001593",2.1,3.6
"Greenwich 014D","E01001594",5.0,5.2
"Greenwich 015A","E01001698",5.4,5.4
"Greenwich 015B","E01001699",3.5,10.0
"Greenwich 015C","E01001701",3.7,3.9
"Greenwich 015D","E01001702",8.0,9.7
"Greenwich 016A","E01001581",2.5,4.6
"Greenwich 016B","E01001585",3.9,3.4
"Greenwich 016C","E01001586",4.0,3.1
"Greenwich 016D","E01001587",2.7,4.3
"Greenwich 017A","E01001678",4.3,5.6
"Greenwich 017B","E01001683",4.2,5.1
"Greenwich 017C","E01001684",4.6,5.0
"Greenwich 017D","E01001685",3.7,4.9
"Greenwich 019A","E01001646",5.2,7.7
"Greenwich 019B","E01001650",5.3,6.4
"Greenwich 019C","E01001651",4.3,3.8
"Greenwich 019D","E01001652",3.6,4.3
"Greenwich 020A","E01001679",3.4,4.8
"Greenwich 020B","E01001680",3.2,4.3
"Greenwich 020C","E01001681",3.5,4.6
"Greenwich 020D","E01001682",3.3,5.2
"Greenwich 020E","E01001686",3.5,7.8
"Greenwich 021A","E01001580",2.1,3.5
"Greenwich 021B","E01001582",2.6,4.4
"Greenwich 021C","E01001583",2.8,4.2
"Greenwich 021D","E01001584",1.7,3.5
"Greenwich 022A","E01001645",5.1,6.0
"Greenwich 022B","E01001647",5.3,5.2
"Greenwich 022C","E01001648",3.7,4.8
"Greenwich 022D","E01001649",5.8,6.2
"Greenwich 023A","E01001605",3.6,3.9
"Greenwich 023B","E01001606",3.1,4.8
"Greenwich 023C","E01001610",3.1,4.3
"Greenwich 023D","E01001611",4.5,5.0
"Greenwich 025A","E01001620",6.5,6.5
"Greenwich 025B","E01001621",4.1,4.4
"Greenwich 025C","E01001623",4.8,6.6
"Greenwich 025D","E01001624",4.4,5.1
"Greenwich 025E","E01001625",5.5,5.6
"Greenwich 027A","E01001604",3.9,4.7
"Greenwich 027B","E01001607",3.4,4.6
"Greenwich 027C","E01001608",4.5,5.1
"Greenwich 027D","E01001609",3.1,5.9
"Greenwich 028A","E01001613",3.2,4.4
"Greenwich 028B","E01001614",3.1,5.5
"Greenwich 028C","E01001615",2.9,5.4
"Greenwich 028D","E01001617",3.3,3.9
"Greenwich 029A","E01001653",4.4,4.5
"Greenwich 029B","E01001654",4.8,6.3
"Greenwich 029C","E01001655",4.8,4.3
"Greenwich 029D","E01001660",5.5,6.1
"Greenwich 029E","E01001661",5.4,4.8
"Greenwich 030C","E01001618",3.8,6.3
"Greenwich 030D","E01001619",3.8,5.3
"Greenwich 030E","E01033729",13.4,16.4
"Greenwich 031A","E01001597",4.0,5.1
"Greenwich 031B","E01001598",3.0,5.2
"Greenwich 031C","E01001602",6.3,6.8
"Greenwich 031D","E01001603",3.7,4.4
"Greenwich 032A","E01001596",4.3,4.8
"Greenwich 032B","E01001599",4.8,5.8
"Greenwich 032C","E01001600",3.9,5.0
"Greenwich 032D","E01001601",3.6,6.1
"Greenwich 033A","E01001669",4.8,6.1
"Greenwich 033B","E01001671",3.7,4.3
"Greenwich 033C","E01001676",4.3,6.5
"Greenwich 033D","E01032567",4.4,5.4
"Greenwich 034A","E01001656",3.4,3.6
"Greenwich 034B","E01001657",3.4,4.1
"Greenwich 034C","E01001658",2.8,5.4
"Greenwich 034D","E01001659",3.3,7.9
"Greenwich 034F","E01034174",1.9,3.3
"Greenwich 034G","E01034175",1.1,5.5
"Greenwich 034H","E01034176",5.3,9.5
"Greenwich 034I","E01034177",4.9,6.1
"Greenwich 035B","E01033727",12.0,16.1
"Greenwich 035C","E01033728",1.4,5.3
"Greenwich 035E","E01034178",2.4,6.8
"Greenwich 035F","E01034179",9.2,15.0
"Greenwich 035G","E01034180",4.8,7.3
"Greenwich 035H","E01034181",8.8,14.8
"Greenwich 035I","E01034182",2.7,4.9
"Greenwich 037B","E01001664",3.6,9.8
"Greenwich 037C","E01001665",3.0,7.7
"Greenwich 037D","E01033738",2.6,8.1
"Greenwich 037E","E01034183",2.2,5.8
"Greenwich 037F","E01034184",2.8,5.3
"Greenwich 037G","E01034185",2.2,6.1
"Greenwich 038A","E01001638",4.8,7.3
"Greenwich 038B","E01001641",3.0,8.4
"Greenwich 038C","E01001642",3.2,4.0
"Greenwich 038D","E01001644",3.0,9.6
"Greenwich 038E","E01033746",2.6,3.7
"Greenwich 039B","E01033734",4.1,7.9
"Greenwich 039A","E01033736",1.3,8.1
"Greenwich 039C","E01034186",1.4,7.7
"Greenwich 039D","E01034187",1.4,4.3
"Greenwich 040A","E01034188",2.3,6.7
"Greenwich 040B","E01034189",1.5,4.0
"Greenwich 040C","E01034190",4.2,7.3
"Greenwich 040D","E01034191",2.9,5.2
"Greenwich 040E","E01034192",3.8,4.8
"Greenwich 041G","E01001666",5.6,8.2
"Greenwich 041E","E01033732",2.8,9.5
"Greenwich 041A","E01034193",3.4,6.8
"Greenwich 041B","E01034194",2.1,7.1
"Greenwich 041C","E01034195",8.4,11.4
"Greenwich 041D","E01034196",2.0,7.4
"Greenwich 042A","E01001712",4.6,5.3
"Greenwich 042D","E01033735",2.1,7.8
"Greenwich 042B","E01033737",4.2,6.9
"Greenwich 042C","E01034198",4.7,7.6
"Hackney 001A","E01001808",5.9,10.2
"Hackney 001B","E01001809",7.1,8.9
"Hackney 001C","E01001814",6.1,8.1
"Hackney 001D","E01001823",7.0,7.0
"Hackney 001E","E01001825",7.3,8.4
"Hackney 002A","E01001714",4.3,6.1
"Hackney 002D","E01001811",4.2,8.4
"Hackney 002E","E01001813",4.1,7.8
"Hackney 002G","E01035638",2.1,7.9
"Hackney 002H","E01035639",4.0,6.7
"Hackney 003A","E01001799",6.3,6.8
"Hackney 003B","E01001802",5.4,7.0
"Hackney 003C","E01001804",5.8,6.8
"Hackney 003D","E01001807",6.3,9.1
"Hackney 003E","E01001812",6.8,10.6
"Hackney 004A","E01001725",7.1,6.7
"Hackney 004B","E01001726",7.0,8.3
"Hackney 004C","E01001800",5.1,8.7
"Hackney 004D","E01001824",5.7,6.8
"Hackney 004E","E01001826",6.4,7.4
"Hackney 006A","E01001723",5.4,6.0
"Hackney 006B","E01001724",3.2,6.6
"Hackney 006C","E01001727",5.8,5.8
"Hackney 006D","E01001768",3.1,5.7
"Hackney 006E","E01001769",4.7,6.5
"Hackney 007A","E01001715",2.6,6.2
"Hackney 007B","E01001716",3.1,5.3
"Hackney 007C","E01001717",4.9,7.1
"Hackney 007D","E01001718",1.8,7.8
"Hackney 007E","E01001719",3.4,5.6
"Hackney 007F","E01001720",2.5,8.6
"Hackney 008A","E01001742",3.5,4.3
"Hackney 008B","E01001801",5.7,7.9
"Hackney 008C","E01001803",5.5,5.8
"Hackney 008D","E01001806",3.3,4.0
"Hackney 009A","E01001741",3.1,6.1
"Hackney 009B","E01001805",3.4,7.2
"Hackney 009C","E01001829",3.8,4.6
"Hackney 009D","E01001831",2.7,9.8
"Hackney 009E","E01001832",4.1,6.5
"Hackney 010A","E01001764",5.9,8.5
"Hackney 010B","E01001765",6.5,7.7
"Hackney 010D","E01001767",3.7,4.4
"Hackney 010E","E01001770",5.1,6.0
"Hackney 010F","E01033703",3.3,8.0
"Hackney 010G","E01033713",3.3,5.5
"Hackney 011A","E01001792",4.1,7.1
"Hackney 011B","E01001793",3.8,6.8
"Hackney 011C","E01001794",3.8,5.4
"Hackney 011D","E01001795",2.7,6.3
"Hackney 011E","E01001796",3.1,5.2
"Hackney 012A","E01001736",3.7,6.6
"Hackney 012B","E01001737",4.2,5.4
"Hackney 012C","E01001738",3.7,5.0
"Hackney 012D","E01001739",2.7,3.5
"Hackney 013A","E01001786",4.4,7.1
"Hackney 013B","E01001787",6.0,7.9
"Hackney 013C","E01001788",6.0,7.9
"Hackney 013D","E01001790",6.5,7.3
"Hackney 014A","E01001740",5.4,6.5
"Hackney 014B","E01001747",3.2,6.7
"Hackney 014C","E01001830",3.1,5.0
"Hackney 014D","E01001833",3.5,6.5
"Hackney 014E","E01001834",2.7,4.5
"Hackney 014F","E01001835",3.2,4.2
"Hackney 015A","E01001733",2.8,7.2
"Hackney 015B","E01001785",4.3,6.7
"Hackney 015C","E01001789",3.2,5.1
"Hackney 015D","E01001791",5.9,8.4
"Hackney 016A","E01001745",4.3,7.1
"Hackney 016B","E01001746",6.3,6.9
"Hackney 016C","E01001757",4.5,6.8
"Hackney 016D","E01001758",6.3,7.5
"Hackney 016E","E01001759",4.1,5.4
"Hackney 016F","E01001761",3.0,5.6
"Hackney 017A","E01001731",3.1,7.0
"Hackney 017B","E01001734",3.2,6.7
"Hackney 017C","E01001760",2.8,8.3
"Hackney 017D","E01001762",2.4,5.5
"Hackney 018A","E01001846",4.1,6.1
"Hackney 018B","E01001847",5.0,5.6
"Hackney 018C","E01001848",6.7,8.6
"Hackney 018D","E01001849",4.1,8.3
"Hackney 019A","E01001729",4.6,9.1
"Hackney 019B","E01001730",5.3,7.0
"Hackney 019C","E01001732",5.6,5.9
"Hackney 019D","E01001735",4.6,8.1
"Hackney 019E","E01001838",5.5,5.5
"Hackney 019F","E01001850",5.8,6.9
"Hackney 020B","E01001749",3.6,6.1
"Hackney 020C","E01001763",4.2,5.8
"Hackney 020D","E01001816",4.0,4.7
"Hackney 020E","E01001819",3.5,4.0
"Hackney 020F","E01035640",3.3,6.0
"Hackney 020G","E01035641",3.1,8.3
"Hackney 022A","E01001836",4.3,4.0
"Hackney 022B","E01001840",4.4,5.9
"Hackney 022C","E01001841",3.2,5.5
"Hackney 022D","E01001844",6.8,8.0
"Hackney 022E","E01001845",4.2,7.4
"Hackney 023B","E01001837",2.6,4.0
"Hackney 023C","E01001839",4.0,8.8
"Hackney 023D","E01001842",4.6,8.0
"Hackney 023E","E01001843",4.7,7.3
"Hackney 023F","E01033704",2.6,6.1
"Hackney 023G","E01033712",2.8,6.2
"Hackney 024A","E01001772",3.4,6.0
"Hackney 024B","E01001774",4.1,7.8
"Hackney 024C","E01001775",5.3,7.4
"Hackney 024D","E01001815",4.8,6.4
"Hackney 024E","E01001820",3.7,8.9
"Hackney 024F","E01001821",4.2,7.6
"Hackney 025B","E01001753",4.3,5.3
"Hackney 025D","E01001755",3.9,8.0
"Hackney 025E","E01001773",3.2,6.0
"Hackney 025F","E01001776",3.8,8.7
"Hackney 025G","E01035642",4.0,5.5
"Hackney 025H","E01035643",3.1,6.9
"Hackney 025I","E01035644",2.3,7.0
"Hackney 025J","E01035645",4.4,6.6
"Hackney 026B","E01001781",6.2,10.1
"Hackney 026D","E01001783",4.5,10.1
"Hackney 026E","E01035646",3.2,8.0
"Hackney 026F","E01035647",1.1,5.6
"Hackney 026G","E01035648",5.7,6.6
"Hackney 026H","E01035649",3.6,7.9
"Hackney 028A","E01001798",5.0,7.2
"Hackney 028B","E01001828",4.7,5.6
"Hackney 028C","E01033702",5.5,6.4
"Hackney 028D","E01033705",6.2,7.0
"Hackney 028E","E01033710",3.5,4.6
"Hackney 029A","E01001722",4.7,7.2
"Hackney 029B","E01001728",5.8,10.7
"Hackney 029C","E01001822",6.9,8.0
"Hackney 029D","E01001827",7.5,6.1
"Hackney 030C","E01001756",2.3,5.5
"Hackney 030A","E01033699",1.8,7.4
"Hackney 030B","E01033700",1.8,5.5
"Hackney 031A","E01001744",3.1,7.0
"Hackney 031D","E01001750",3.1,5.3
"Hackney 031B","E01001751",1.8,3.6
"Hackney 031C","E01035650",3.4,8.1
"Hackney 032D","E01001780",2.5,9.3
"Hackney 032A","E01001784",4.4,7.5
"Hackney 032B","E01033709",3.2,9.8
"Hackney 032C","E01033711",6.3,25.0
"Hackney 033A","E01001777",5.3,12.3
"Hackney 033B","E01033706",3.3,15.1
"Hackney 033C","E01033708",3.2,20.6
"Hammersmith and Fulham 001B","E01001875",5.1,9.5
"Hammersmith and Fulham 001C","E01001876",3.8,9.0
"Hammersmith and Fulham 001D","E01001877",3.7,7.0
"Hammersmith and Fulham 001E","E01001878",5.0,8.0
"Hammersmith and Fulham 001F","E01035484",3.0,22.9
"Hammersmith and Fulham 001G","E01035485",2.8,13.3
"Hammersmith and Fulham 002A","E01001955",5.1,8.3
"Hammersmith and Fulham 002B","E01001957",6.5,6.7
"Hammersmith and Fulham 002C","E01001958",6.3,10.1
"Hammersmith and Fulham 002D","E01001961",6.5,9.5
"Hammersmith and Fulham 003A","E01001954",4.6,7.5
"Hammersmith and Fulham 003B","E01001956",5.1,8.4
"Hammersmith and Fulham 003C","E01001959",8.7,12.6
"Hammersmith and Fulham 003D","E01001960",2.2,9.0
"Hammersmith and Fulham 004A","E01001943",3.8,9.5
"Hammersmith and Fulham 004B","E01001944",3.8,6.9
"Hammersmith and Fulham 004C","E01001945",3.4,7.1
"Hammersmith and Fulham 004D","E01001946",3.4,11.8
