
"TS007B - Age by broad age bands"
"ONS Crown Copyright Reserved [from Nomis on 6 January 2026]"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Aged 16 to 19 years","Aged 20 to 24 years"
"Barking and Dagenham 023F","E01032580",5.1,6.7
"Barnet 001A","E01000248",3.5,3.6
"Barnet 001B","E01000249",2.9,5.2
"Barnet 001C","E01000250",4.5,5.6
"Barnet 001D","E01000254",3.4,4.6
"Barnet 001E","E01000292",3.4,4.9
"Barnet 001F","E01000293",4.5,5.2
"Barnet 002A","E01000167",4.2,5.2
"Barnet 002B","E01000246",3.0,3.4
"Barnet 002C","E01000247",3.9,4.0
"Barnet 002D","E01000251",5.1,5.8
"Barnet 002E","E01000252",2.7,4.2
"Barnet 003A","E01000166",4.0,5.5
"Barnet 003B","E01000168",4.8,4.0
"Barnet 003C","E01000169",3.3,4.6
"Barnet 003D","E01000172",3.9,4.3
"Barnet 004A","E01000285",3.2,5.3
"Barnet 004B","E01000287",5.7,5.7
"Barnet 004C","E01000288",4.8,6.8
"Barnet 004D","E01000289",6.2,7.7
"Barnet 004E","E01000291",5.3,5.6
"Barnet 004F","E01000294",4.0,3.4
"Barnet 005A","E01000267",3.7,5.4
"Barnet 005B","E01000268",4.4,5.0
"Barnet 005C","E01000269",3.4,4.5
"Barnet 005D","E01000270",4.7,3.6
"Barnet 006A","E01000170",7.4,5.7
"Barnet 006B","E01000171",4.0,4.4
"Barnet 006C","E01000173",4.9,5.6
"Barnet 006D","E01000174",3.7,7.0
"Barnet 006E","E01000175",2.9,6.1
"Barnet 007A","E01000228",6.3,5.7
"Barnet 007B","E01000253",4.0,4.0
"Barnet 007C","E01000279",5.3,4.9
"Barnet 007D","E01000280",3.9,3.9
"Barnet 007E","E01000286",4.7,5.5
"Barnet 007F","E01000290",4.9,4.4
"Barnet 008A","E01000271",4.5,3.9
"Barnet 008B","E01000272",4.2,3.5
"Barnet 008C","E01000273",2.8,4.9
"Barnet 008D","E01000281",2.6,2.9
"Barnet 008E","E01000282",4.1,4.6
"Barnet 009A","E01000115",4.5,5.3
"Barnet 009B","E01000116",4.9,5.0
"Barnet 009C","E01000119",4.3,4.8
"Barnet 009D","E01000120",5.0,5.3
"Barnet 009E","E01000122",5.5,4.6
"Barnet 010A","E01000117",3.6,4.6
"Barnet 010B","E01000118",4.5,5.7
"Barnet 010C","E01000121",5.2,8.8
"Barnet 010D","E01000123",3.0,3.9
"Barnet 010E","E01000124",3.8,5.5
"Barnet 011A","E01000265",4.1,4.5
"Barnet 011B","E01000266",4.5,5.4
"Barnet 011C","E01000274",5.4,6.0
"Barnet 011D","E01000320",3.7,5.3
"Barnet 011E","E01000322",3.1,3.6
"Barnet 012A","E01000275",2.9,5.6
"Barnet 012B","E01000277",2.7,5.0
"Barnet 012C","E01000283",3.9,3.9
"Barnet 012D","E01000284",3.2,4.9
"Barnet 012E","E01000321",2.2,5.4
"Barnet 013A","E01000195",4.9,6.0
"Barnet 013B","E01000229",4.8,5.4
"Barnet 013C","E01000230",3.7,4.7
"Barnet 013D","E01000231",4.8,5.7
"Barnet 013E","E01000232",3.5,5.8
"Barnet 013F","E01000233",4.2,5.3
"Barnet 014A","E01000186",5.2,7.0
"Barnet 014B","E01000187",4.2,4.1
"Barnet 014C","E01000188",5.5,4.1
"Barnet 014D","E01000189",4.3,6.1
"Barnet 014E","E01000190",5.4,5.3
"Barnet 014F","E01000191",4.7,4.3
"Barnet 015A","E01000158",4.0,4.3
"Barnet 015B","E01000159",4.8,5.9
"Barnet 015C","E01000160",4.9,4.2
"Barnet 015D","E01000161",5.0,4.1
"Barnet 015E","E01000162",4.5,4.7
"Barnet 015F","E01000324",4.9,4.9
"Barnet 016A","E01000256",4.5,5.0
"Barnet 016B","E01000258",3.6,4.4
"Barnet 016C","E01000263",4.9,5.8
"Barnet 016D","E01000264",4.7,6.0
"Barnet 017A","E01000255",5.8,7.5
"Barnet 017B","E01000257",3.9,4.0
"Barnet 017C","E01000261",11.0,3.5
"Barnet 017E","E01033911",4.4,4.7
"Barnet 017F","E01033912",4.1,5.1
"Barnet 018A","E01000192",3.6,5.0
"Barnet 018B","E01000193",4.5,7.5
"Barnet 018C","E01000194",4.3,5.1
"Barnet 018D","E01000226",5.2,7.4
