LSOA21CD,LSOA21NM,borough,mean_AI,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_2023,Shape_Length,Shape_Area
E01000001,City of London 001A,City of London,74.818060178301707,76.150403605523863,43.344685923109353,97.664049728284553,6b,2635.767993032323830,129865.314435272390256
E01000002,City of London 001B,Islington,85.324898427362427,88.899953486920907,44.802673936160062,102.127724262129817,6b,2707.816820696169998,228419.782303949526977
E01000003,City of London 001C,Islington,53.411382948394795,54.114541331179964,36.995870454288195,66.989479210916500,6b,1224.573160152973060,59054.204610752502049
E01000005,City of London 001E,Tower Hamlets,82.428911727111142,86.649984575878662,45.504886778089784,104.154095741078834,6b,2275.805344358974708,189577.709493080241373
E01000006,Barking and Dagenham 016A,Barking & Dagenham,24.153971080768297,27.931273068282813,2.836977462390278,33.400903310420688,5,1966.092606712967381,146536.995719520637067
E01000007,Barking and Dagenham 015A,Barking & Dagenham,32.603954237848924,31.860012002761223,23.001195777917324,49.248125098108680,6a,2949.685052593012642,200093.992706287652254
E01000008,Barking and Dagenham 015B,Newham,8.391131601399604,6.024137573264315,0.000000000000000,26.471128211997346,2,2928.215029979229257,216901.393721628555795
E01000009,Barking and Dagenham 016B,Barking & Dagenham,37.753209235215536,36.861249117089088,32.582778646693967,42.639268989916332,6a,2158.787982836404353,127959.927472488023341
E01000011,Barking and Dagenham 016C,Barking & Dagenham,31.701426240148614,31.681023563043759,27.722053977529526,36.299088522083508,6a,1543.085425471191911,91632.281525447440799
E01000012,Barking and Dagenham 015D,Barking & Dagenham,18.288953901559083,21.551302364015697,2.254283238283068,32.112539272916983,4,2327.979035384439612,143774.697577925835503
E01000013,Barking and Dagenham 013A,Barking & Dagenham,13.592951711520740,13.133768888807975,1.985218686985702,21.359150454872875,3,3326.680274604233546,207829.959470106754452
E01000014,Barking and Dagenham 013B,Barking & Dagenham,8.088113653206602,7.183959707525059,2.276307563855096,16.854517143405751,2,4029.906635091396311,341219.223400537157431
E01000015,Barking and Dagenham 009A,Barking & Dagenham,8.895151845471048,9.001648071045675,2.156484516690699,14.959948696201890,2,3294.545532514674960,280629.570938631484751
E01000016,Barking and Dagenham 009B,Barking & Dagenham,6.978437867432125,5.929248392573827,2.739288926597727,15.222230443529696,2,2759.579751698765449,198775.114631184638711
E01000017,Barking and Dagenham 009C,Barking & Dagenham,8.916698365920750,8.332681834213179,5.331629919957239,14.377568283914940,2,2233.130298268677961,158371.857018600800075
E01000018,Barking and Dagenham 009D,Barking & Dagenham,8.411974954221128,8.238808436049888,3.602766676448856,15.053951223678290,2,2627.661197827642354,173980.619530442374526
E01000019,Barking and Dagenham 023A,Redbridge,4.750878695720870,5.368678998840018,2.530744557180827,7.142540108039254,1b,3146.217232509045516,183076.987113539420534
E01000020,Barking and Dagenham 023B,Barking & Dagenham,7.045604483015399,7.010643368740293,4.014543957531831,11.127029765524666,2,3214.311520246214513,187237.022926610778086
E01000021,Barking and Dagenham 008A,Barking & Dagenham,6.001601250165671,6.487802666295284,1.917594494273668,10.486214033569976,2,2793.636559605247385,170152.770653466170188
E01000022,Barking and Dagenham 008B,Barking & Dagenham,7.850317297161726,8.008075561035440,6.870913601127021,8.595162079656392,2,1940.941968234019669,128262.995550403255038
E01000024,Barking and Dagenham 008D,Barking & Dagenham,9.293122261825284,9.443846642271321,6.713805911123405,11.566710538861347,2,2342.055559265772445,128635.216430103057064
E01000025,Barking and Dagenham 008E,Barking & Dagenham,7.220084341025144,7.147177152476875,5.690973118466576,8.922120456643405,2,2475.411233735693713,153352.040292370249517
E01000027,Barking and Dagenham 001A,Havering,3.475730285927377,4.033008593949421,0.000000000000000,6.529667130277945,1b,6752.453001765869885,1474526.720669519854710
E01000028,Barking and Dagenham 001B,Redbridge,4.116088955752749,4.161088116272783,2.877796648514338,5.005696233949032,1b,2616.039083898404442,143890.821809553512139
E01000029,Barking and Dagenham 001C,Redbridge,3.946656803801171,4.360315020777126,0.000000000000000,6.189541346432995,1b,4058.923194604683886,256877.141851601860253
E01000030,Barking and Dagenham 001D,Barking & Dagenham,5.529473205482672,5.582778481644774,3.887422051827322,7.138544598557065,2,4895.575241971671858,286265.980058571789414
E01000031,Barking and Dagenham 002A,Havering,3.843432928185837,4.179333763082147,0.000000000000000,7.841111454391048,1b,5399.873448831971473,843421.220760356867686
E01000032,Barking and Dagenham 002B,Barking & Dagenham,6.988161049747967,6.183125809407550,0.000000000000000,14.592873850227182,2,3773.929060733127699,375434.956081948825158
E01000033,Barking and Dagenham 006A,Barking & Dagenham,4.256292301322620,4.422323209831903,2.798631607796497,6.164367953528040,1b,2507.793190067464820,145321.725337452109670
E01000034,Barking and Dagenham 003A,Barking & Dagenham,3.653552908768663,3.359673135276160,2.301591175110856,8.535276157886644,1b,6006.847622955271618,513659.108141704695299
E01000035,Barking and Dagenham 010A,Barking & Dagenham,7.042563821137830,7.675015490762007,2.414207266266152,12.927504596677100,2,3609.905133843216390,397161.416658449161332
E01000036,Barking and Dagenham 010B,Barking & Dagenham,7.571241139403595,9.040423534070072,0.000000000000000,14.320383911726985,2,4393.928508060967033,418688.296724205079954
E01000037,Barking and Dagenham 003B,Havering,6.198010015382306,5.944852556621377,2.359368477847038,12.663370359288173,2,2905.634677828257736,233433.350502381334081
E01000038,Barking and Dagenham 003C,Barking & Dagenham,9.452988075016053,9.696934556219770,2.813806445324187,12.344759158852963,2,2305.558902919471620,214045.771773836080683
E01000039,Barking and Dagenham 003D,Havering,1.973662986548859,2.366798574720594,0.000000000000000,8.721279832185537,1a,7425.764041412879124,1531807.866164631443098
E01000040,Barking and Dagenham 019A,Barking & Dagenham,10.235355440100063,10.610810624357985,3.872997536506234,12.362821700428704,3,2286.961839067505025,170708.136818705330370
E01000041,Barking and Dagenham 017A,Barking & Dagenham,6.439646296921627,6.498861516375092,3.716068877068278,9.146042267675774,2,2343.712040558653371,152635.389527309802361
E01000042,Barking and Dagenham 017B,Barking & Dagenham,10.472010997980210,9.812334990846425,8.484247932025596,14.499437355027588,3,2610.109729324117325,231229.836835098365555
E01000043,Barking and Dagenham 019B,Barking & Dagenham,10.501711356950326,10.449050819328191,7.277416019983400,13.521657390213386,3,2336.075220545966658,266364.931616093846969
E01000044,Barking and Dagenham 016D,Barking & Dagenham,15.684511325513377,8.496110732448482,3.437635518874717,33.667486680614182,4,2717.374579235327474,170628.749346626718761
E01000045,Barking and Dagenham 017C,Barking & Dagenham,7.815944336484479,7.053648828335330,3.325828580275447,13.066686334984301,2,3473.585529136871628,298245.593432290770579
E01000046,Barking and Dagenham 017D,Barking & Dagenham,6.706978787915711,6.793036153171007,4.133467913776144,9.098002953484157,2,1817.875843513782229,155494.033603447867790
E01000049,Barking and Dagenham 021C,Barking & Dagenham,7.744166391961137,8.574389934677445,3.634832977786611,12.003633690154773,2,2692.774556461878092,212559.826812209386844
E01000050,Barking and Dagenham 019C,Barking & Dagenham,26.303714237067627,27.853848542621041,9.515273414352748,33.533856551940168,6a,2278.517698084479889,137654.727048355736770
E01000051,Barking and Dagenham 021D,Barking & Dagenham,26.822967014313274,30.376969610453585,9.311023548184204,36.012640528944253,6a,1103.336369339669545,66632.494899232246098
E01000052,Barking and Dagenham 019D,Barking & Dagenham,10.792645666315511,10.153351967681095,2.316300090409892,26.420866644093898,3,2609.873374820996560,199636.412016640533693
E01000053,Barking and Dagenham 020A,Barking & Dagenham,6.940215675971763,7.429915302930546,0.000000000000000,15.165211374076657,2,3039.711057739502849,180905.184292169316905
E01000054,Barking and Dagenham 018A,Barking & Dagenham,6.517076773110478,6.928317638766554,0.000000000000000,9.531854135165066,2,2872.463593929570379,171139.943153293570504
E01000055,Barking and Dagenham 018B,Barking & Dagenham,8.216811272418939,8.640397569558731,4.380005425591905,10.259916578730984,2,2453.795178049123024,146059.174203625123482
E01000056,Barking and Dagenham 018C,Barking & Dagenham,1.974311409596956,0.000000000000000,0.000000000000000,6.350872429924064,1a,3470.390684851032802,243571.594574452086817
E01000057,Barking and Dagenham 012A,Barking & Dagenham,10.541932463213881,10.669097874177124,8.166134699217515,12.546962830767397,3,3001.136047514222810,147679.388615129049867
E01000058,Barking and Dagenham 018D,Barking & Dagenham,7.331696029803425,7.625892236463663,2.404606982726140,9.418131379189052,2,2402.493795256737940,182188.003243005223339
E01000059,Barking and Dagenham 013C,Barking & Dagenham,6.588941132924751,6.732396938412048,0.000000000000000,11.276159929689371,2,2820.046927198054163,208415.816669871594058
E01000060,Barking and Dagenham 006B,Barking & Dagenham,6.265886772837833,4.556463903916891,0.000000000000000,14.866357233301253,2,5656.073940788131040,550065.953680126112886
E01000061,Barking and Dagenham 006C,Havering,7.669041513679910,8.267764902064808,0.000000000000000,15.133638596528913,2,4279.043643078898640,610455.521152121829800
E01000062,Barking and Dagenham 006D,Barking & Dagenham,5.840930497546752,5.791140257554716,3.650599047684989,9.432637730377431,2,3005.469262006259214,221342.866711481910897
E01000063,Barking and Dagenham 004A,Barking & Dagenham,9.287538668886427,9.457971571855982,6.384228617486285,11.639945483468509,2,2551.498345616715142,181220.799356481875293
E01000064,Barking and Dagenham 006E,Barking & Dagenham,4.327251887848014,4.407817019435859,1.994386573506843,6.881679932032213,1b,2923.487293487432453,208816.832481146964710
